#name
N_Sgr_26b
N_Sge_26
#V8055_Sgr Monitoring stopped on 9/9/26. Has faded to 3.5+ mags below peak, max TS is less than 6, unlikely candidate for a Fermi detection.
V1452_Tau
AT2026_stb
